danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,label
0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915,audio_features,386RUes7n1uM1yfzgeUuwp,spotify:track:386RUes7n1uM1yfzgeUuwp,https://api.spotify.com/v1/tracks/386RUes7n1uM1yfzgeUuwp,https://api.spotify.com/v1/audio-analysis/386RUes7n1uM1yfzgeUuwp,189109,4,34
0.675,0.166,11,-22.602,1,0.171,0.88,7.14e-05,0.0461,0.747,68.837,audio_features,23EmReYCtIOWmBFjyaNXyf,spotify:track:23EmReYCtIOWmBFjyaNXyf,https://api.spotify.com/v1/tracks/23EmReYCtIOWmBFjyaNXyf,https://api.spotify.com/v1/audio-analysis/23EmReYCtIOWmBFjyaNXyf,294400,4,36
0.756,0.558,4,-16.157,1,0.0476,0.162,5.5e-06,0.0748,0.802,97.002,audio_features,2jpYXdWD2wf8Mt56iyehpP,spotify:track:2jpYXdWD2wf8Mt56iyehpP,https://api.spotify.com/v1/tracks/2jpYXdWD2wf8Mt56iyehpP,https://api.spotify.com/v1/audio-analysis/2jpYXdWD2wf8Mt56iyehpP,220027,4,38
0.631,0.846,7,-7.271,0,0.0638,0.0701,8.38e-06,0.367,0.737,96.651,audio_features,4tQP5dygE0GaWRo65ZqdHl,spotify:track:4tQP5dygE0GaWRo65ZqdHl,https://api.spotify.com/v1/tracks/4tQP5dygE0GaWRo65ZqdHl,https://api.spotify.com/v1/audio-analysis/4tQP5dygE0GaWRo65ZqdHl,261600,4,40
0.805,0.418,7,-14.374,1,0.0979,0.459,0.0,0.288,0.966,149.724,audio_features,1BkY0N8ChFk2mdLbAUu8ZK,spotify:track:1BkY0N8ChFk2mdLbAUu8ZK,https://api.spotify.com/v1/tracks/1BkY0N8ChFk2mdLbAUu8ZK,https://api.spotify.com/v1/audio-analysis/1BkY0N8ChFk2mdLbAUu8ZK,205427,4,42
0.618,0.748,0,-8.905,1,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,audio_features,3EYOJ48Et32uATr9ZmLnAo,spotify:track:3EYOJ48Et32uATr9ZmLnAo,https://api.spotify.com/v1/tracks/3EYOJ48Et32uATr9ZmLnAo,https://api.spotify.com/v1/audio-analysis/3EYOJ48Et32uATr9ZmLnAo,191947,4,44
0.768,0.754,10,-4.327,0,0.164,0.255,0.0,0.301,0.506,83.015,audio_features,4M7bbRsVNB8iWQaX8Sbfln,spotify:track:4M7bbRsVNB8iWQaX8Sbfln,https://api.spotify.com/v1/tracks/4M7bbRsVNB8iWQaX8Sbfln,https://api.spotify.com/v1/audio-analysis/4M7bbRsVNB8iWQaX8Sbfln,339773,4,46
0.691,0.668,6,-3.355,0,0.0702,0.121,9.35e-06,0.0613,0.893,152.097,audio_features,0AsfpL8bzbmEyJsfbPPYnj,spotify:track:0AsfpL8bzbmEyJsfbPPYnj,https://api.spotify.com/v1/tracks/0AsfpL8bzbmEyJsfbPPYnj,https://api.spotify.com/v1/audio-analysis/0AsfpL8bzbmEyJsfbPPYnj,252227,4,48
0.783,0.651,9,-6.757,0,0.0338,0.503,1.31e-05,0.121,0.643,101.015,audio_features,5lKHrBigpyKZM6uMvbOGh2,spotify:track:5lKHrBigpyKZM6uMvbOGh2,https://api.spotify.com/v1/tracks/5lKHrBigpyKZM6uMvbOGh2,https://api.spotify.com/v1/audio-analysis/5lKHrBigpyKZM6uMvbOGh2,332653,4,50
0.773,0.522,7,-10.747,1,0.0922,0.0887,0.124,0.0616,0.427,98.395,audio_features,7E1duSMvHGUcYRgwrMZOUf,spotify:track:7E1duSMvHGUcYRgwrMZOUf,https://api.spotify.com/v1/tracks/7E1duSMvHGUcYRgwrMZOUf,https://api.spotify.com/v1/audio-analysis/7E1duSMvHGUcYRgwrMZOUf,333107,4,52
